Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,create_term,1829,0,5,8.77094673537297,1.906875000713626,156.8139169994538,78.0,6.117024678440952,0.0,5,6,9,12,18,28,41,57,160,160,160
DELETE,delete_term,1821,1155,3,5.79460105873375,1.0743339989858214,119.63762500090525,17.125205930807248,6.090268966342796,3.8628559341712956,3,4,6,7,12,17,33,42,110,120,120
GET,get_term,3695,2220,3,4.8337631829491015,0.9811670006456552,155.28437499961,47.800811907983764,12.357794525335876,7.424710107238335,3,3,4,5,10,15,26,34,120,160,160
GET,health_check,100,0,10,9.874879159942793,3.2507500000065193,22.03212499989604,15.0,0.334446401226952,0.0,10,11,12,13,15,15,16,22,22,22,22
GET,list_terms,5597,0,16,21.901441797393264,5.4490000002260786,215.57545900031982,92463.5810255494,18.718965076672504,0.0,16,20,24,27,39,51,91,120,170,220,220
PUT,update_term,1851,1101,3,5.590787001065802,1.0991250001097796,196.68354100031138,48.64937871420854,6.190602886710882,3.6822548775087416,3,4,5,6,11,18,29,38,120,200,200
,Aggregated,14893,4476,7,11.976981767469685,0.9811670006456552,215.57545900031982,34778.80104747196,49.80910253472996,14.969820918918371,7,12,15,17,26,36,54,83,160,200,220
