Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,create_term,72,0,6,5.986111111111111,3,8,0.0,0.6035320867616178,0.0,6,7,7,7,7,8,8,8,8,8,8
grpc,delete_term,89,0,3,3.8202247191011236,1,7,0.0,0.7460327183581109,0.0,3,4,5,5,6,6,6,7,7,7,7
grpc,get_term,153,0,3,2.816993464052288,0,5,0.0,1.2825056843684377,0.0,3,3,3,4,4,4,4,5,5,5,5
grpc,list_terms,214,0,4,3.8411214953271027,0,10,0.0,1.7938314800970308,0.0,4,4,5,5,5,5,6,7,10,10,10
grpc,update_term,51,0,4,4.137254901960785,0,14,0.0,0.42750189478947925,0.0,4,4,6,6,6,7,11,14,14,14,14
,Aggregated,579,0,4,3.860103626943005,0,14,0.0,4.853403864374677,0.0,4,4,5,5,6,7,7,8,14,14,14
