Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,create_term,559,0,8,8.452396354212963,2.262124999106163,65.10966700079734,77.0,3.1108729323839883,0.0,8,9,10,10,12,14,18,22,65,65,65
DELETE,delete_term,507,381,5,5.719389974357651,1.5787920001457678,36.21633300099347,20.28994082840237,2.821489403790129,2.1202908537357774,5,6,7,7,8,9,11,14,36,36,36
GET,get_term,1107,797,5,5.267991187898249,1.3645420003740583,60.92816700038384,41.32881662149955,6.160530118334661,4.435359082486652,5,6,6,7,7,8,10,11,24,61,61
GET,health_check,50,0,8,7.674909140150703,4.426667001098394,11.158792000060203,15.0,0.278253392878711,0.0,8,8,9,10,10,11,11,11,11,11,11
GET,list_terms,1681,0,10,11.192993942299845,1.7076250005629845,70.58508299996902,21821.403926234383,9.354879068582262,0.0,10,12,13,14,16,19,24,39,52,71,71
PUT,update_term,586,428,6,6.19673925767768,1.7253749992960365,63.5490420008864,41.26621160409557,3.2611297645384925,2.3818490430417656,6,7,7,8,9,10,12,18,64,64,64
,Aggregated,4490,1606,7,8.08168017884642,1.3645420003740583,70.58508299996902,8197.281291759466,24.987154680508244,8.937498979264197,7,9,10,11,13,16,19,25,52,71,71
