Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,create_term,1792,0,2,1.80078125,0,32,0.0,5.983705750590926,0.0,2,2,2,2,3,3,4,5,12,32,32
grpc,delete_term,1835,0,1,1.0076294277929154,0,11,0.0,6.127287975633007,0.0,1,1,1,2,2,2,3,5,7,11,11
grpc,get_term,3709,0,0,0.2712321380425991,0,4,0.0,12.38480169025767,0.0,0,0,0,1,1,1,2,2,4,4,4
grpc,list_terms,5484,0,15,16.808716265499637,9,65,0.0,18.311742375134283,0.0,15,17,19,21,25,28,32,35,46,65,65
grpc,update_term,1816,0,1,0.9801762114537445,0,11,0.0,6.063844666893483,0.0,1,1,1,2,2,3,3,4,7,11,11
,Aggregated,14636,0,2,6.835269199234763,0,65,0.0,48.871382458509366,0.0,2,12,14,15,19,23,28,31,44,63,65
