Method,Name,Error,Occurrences
PUT,update_term,HTTPError('404 Client Error: Not Found for url: update_term'),33
DELETE,delete_term,HTTPError('404 Client Error: Not Found for url: delete_term'),53
GET,get_term,HTTPError('404 Client Error: Not Found for url: get_term'),100
